"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2747","新增用户成功","script.kd_script_allure","2026-08-14","passed","2026-08-14","TestAddUser","test_kd_adduser","",""
"","2223","关闭浏览器环境","script.kd_script_allure","2026-08-14","passed","2026-08-14","TestEnd","test_end","",""
"","0","初始化浏览器环境","script.kd_script_allure","2026-08-14","passed","2026-08-14","TestBegin","test_begin","",""
"","1509","登录成功","script.kd_script_allure","2026-08-14","passed","2026-08-14","TestLogin","test_kd_login","",""
